时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 21:49:20:328	WTRIGHT(D0:74:13:DA:DA:8C)	-0.664	0.691	0.217	0.854	-0.366	2.319	-18.83	45.03	-163.59	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:328	WTRIGHT(D0:74:13:DA:DA:8C)	-0.664	0.691	0.223	0.549	-0.183	2.319	-18.83	45.02	-163.59	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:335	WTLEFT(C3:11:EA:D7:53:77)	-0.006	-0.654	0.751	2.075	-0.183		-40.59	1.42	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:336	WTLEFT(C3:11:EA:D7:53:77)	-0.008	-0.65	0.753	2.258	-0.061		-40.58	1.42	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:336	WTLEFT(C3:11:EA:D7:53:77)	-0.006	-0.653	0.757	2.136	-0.061		-40.58	1.42	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:336	WTLEFT(C3:11:EA:D7:53:77)	-0.008	-0.652	0.763	2.075	-0.122		-40.57	1.41	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:336	WTLEFT(C3:11:EA:D7:53:77)	-0.006	-0.652	0.763	2.014	-0.061		-40.56	1.41	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:336	WTLEFT(C3:11:EA:D7:53:77)	-0.007	-0.65	0.768	2.014			-40.55	1.41	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:336	WTLEFT(C3:11:EA:D7:53:77)	-0.007	-0.65	0.772	1.831	-0.061		-40.54	1.41	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:336	WTLEFT(C3:11:EA:D7:53:77)	-0.009	-0.649	0.773	1.709			-40.53	1.41	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:355	WTRIGHT(D0:74:13:DA:DA:8C)	-0.661	0.695	0.223	0.305	-0.122	2.136	-18.82	45.01	-163.58	-53.508	-10.878	92.806	32.1	100
