时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 12:49:32:323	WTGSB-A6(C3:11:EA:D7:53:77)	-0.363	-1.177	0.335	1.770	20.935	-21.362	-76.12	14.41	-80.47	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
2025-5-24 12:49:32:323	WTGSB-A6(C3:11:EA:D7:53:77)	-0.725	-1.002	0.460	0.305	24.292	-13.184	-76.14	14.39	-80.58	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
2025-5-24 12:49:32:323	WTGSB-A6(C3:11:EA:D7:53:77)	-0.429	-0.991	0.093	0.183	22.583	-8.057	-76.16	14.40	-80.68	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
2025-5-24 12:49:32:324	WTGSB-A6(C3:11:EA:D7:53:77)	-0.442	-1.127	0.207	1.160	22.339	-4.944	-76.17	14.43	-80.78	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
2025-5-24 12:49:32:324	WTGSB-A6(C3:11:EA:D7:53:77)	-0.490	-1.039	0.296	2.563	22.400	0.793	-76.18	14.48	-80.86	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
2025-5-24 12:49:32:324	WTGSB-A6(C3:11:EA:D7:53:77)	-0.458	-1.062	0.218	1.709	23.926	5.432	-76.19	14.56	-80.95	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
2025-5-24 12:49:32:337	WTGSB-A6(C3:11:EA:D7:53:77)	-0.424	-1.028	0.316	4.089	23.621	9.399	-76.19	14.66	-81.02	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
2025-5-24 12:49:32:338	WTGSB-A6(C3:11:EA:D7:53:77)	-0.442	-1.195	0.161	3.052	23.804	15.076	-76.19	14.78	-81.10	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
2025-5-24 12:49:32:338	WTGSB-A6(C3:11:EA:D7:53:77)	-0.355	-1.074	0.098	3.052	23.315	21.240	-76.20	14.94	-81.16	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
2025-5-24 12:49:32:338	WTGSB-A6(C3:11:EA:D7:53:77)	-0.636	-0.998	0.298	3.357	22.339	26.855	-76.20	15.11	-81.21	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
