时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 23:34:44:151	WTRIGHT(D0:74:13:DA:DA:8C)	0.111	0.997	-0.055	-0.183	-0.488	-1.282	2.06	-4.01	-147.09	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:44:151	WTRIGHT(D0:74:13:DA:DA:8C)	0.112	0.988	-0.049	-0.366	-0.488	-1.404	2.05	-3.98	-147.1	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:44:161	WTLEFT(C3:11:EA:D7:53:77)	-0.011		0.997				0.13	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:44:161	WTLEFT(C3:11:EA:D7:53:77)	-0.012		1				0.14	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:44:181	WTRIGHT(D0:74:13:DA:DA:8C)	0.108	0.986	-0.042	-0.305	-0.488	-1.831	2.04	-3.95	-147.11	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:44:181	WTRIGHT(D0:74:13:DA:DA:8C)	0.093	0.991	-0.054	-0.305	-0.427	-1.831	2.03	-3.92	-147.11	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:44:212	WTRIGHT(D0:74:13:DA:DA:8C)	0.094	0.99	-0.042	-0.427	-0.549	-1.343	2.03	-3.88	-147.12	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:44:212	WTRIGHT(D0:74:13:DA:DA:8C)	0.101	0.986	-0.038	-0.122	-0.366	-0.977	2.02	-3.86	-147.12	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:44:221	WTLEFT(C3:11:EA:D7:53:77)	-0.01	-0.001	0.998				0.14	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:44:221	WTLEFT(C3:11:EA:D7:53:77)	-0.01	-0.004	0.995				0.14	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:44:223	WTLEFT(C3:11:EA:D7:53:77)	-0.011		0.999				0.14	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:44:223	WTLEFT(C3:11:EA:D7:53:77)	-0.014	-0.002	0.998				0.14	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:44:271	WTRIGHT(D0:74:13:DA:DA:8C)	0.105	0.989	-0.049	0.061		-0.427	2.02	-3.85	-147.12	-57.036	-41.16	81.732	27.5	100
2025-6-24 23:34:44:272	WTRIGHT(D0:74:13:DA:DA:8C)	0.102	0.99	-0.05	0.122	0.061	-0.122	2.02	-3.85	-147.12	-57.036	-41.16	81.732	27.5	100
2025-6-24 23:34:44:281	WTLEFT(C3:11:EA:D7:53:77)	-0.013		1				0.14	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:44:281	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.002	1				0.14	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:44:301	WTRIGHT(D0:74:13:DA:DA:8C)	0.102	0.988	-0.051	0.183	0.305	-0.244	2.02	-3.84	-147.11	-57.036	-41.16	81.732	27.5	100
2025-6-24 23:34:44:301	WTRIGHT(D0:74:13:DA:DA:8C)	0.101	0.993	-0.051	-0.122		-0.061	2.02	-3.83	-147.11	-57.036	-41.16	81.732	27.5	100
2025-6-24 23:34:44:331	WTRIGHT(D0:74:13:DA:DA:8C)	0.106	0.99	-0.047	-0.061	-0.244	0.061	2.01	-3.84	-147.11	-57.036	-41.16	81.732	27.5	100
2025-6-24 23:34:44:331	WTRIGHT(D0:74:13:DA:DA:8C)	0.1	0.985	-0.05	-0.061	-0.061	0.061	2.01	-3.84	-147.11	-57.036	-41.16	81.732	27.5	100
2025-6-24 23:34:44:341	WTLEFT(C3:11:EA:D7:53:77)	-0.013		0.999				0.14	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:44:341	WTLEFT(C3:11:EA:D7:53:77)	-0.013	-0.002	0.996				0.14	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:44:342	WTLEFT(C3:11:EA:D7:53:77)	-0.01	-0.001	1				0.14	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
