时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 23:35:27:475	WTRIGHT(D0:74:13:DA:DA:8C)	-0.23	1.028	-0.088	5.859	1.77	-8.789	4.58	10.17	-146.43	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:476	WTRIGHT(D0:74:13:DA:DA:8C)	-0.565	0.934	-0.083	4.639	1.099	-3.784	4.67	10.29	-146.35	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:485	WTLEFT(C3:11:EA:D7:53:77)	-0.034	-0.105	0.969	-2.441	1.953	0.183	-5.21	3.87	-90.32	-80.458	-0.588	7.742	27.6	100
2025-6-24 23:35:27:486	WTLEFT(C3:11:EA:D7:53:77)	-0.041	-0.104	0.754	3.418	3.662	-0.061	-5.18	3.91	-90.32	-80.458	-0.588	7.742	27.6	100
2025-6-24 23:35:27:543	WTRIGHT(D0:74:13:DA:DA:8C)	-0.238	0.488	-0.195	10.132	-0.061	2.258	4.78	10.31	-146.31	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:543	WTRIGHT(D0:74:13:DA:DA:8C)	-0.153	1.006	-0.119	8.179	2.991	3.052	4.9	10.29	-146.23	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:549	WTLEFT(C3:11:EA:D7:53:77)	-0.066	-0.122	0.944	5.249	-1.587		-5.11	3.9	-90.31	-80.458	-0.588	7.742	27.6	100
2025-6-24 23:35:27:550	WTLEFT(C3:11:EA:D7:53:77)	-0.057	-0.081	0.97	7.141	-0.305	0.244	-4.98	3.89	-90.3	-80.458	-0.588	7.742	27.6	100
2025-6-24 23:35:27:568	WTRIGHT(D0:74:13:DA:DA:8C)	-0.154	1.019	-0.116	5.798	2.319	4.639	5.02	10.23	-146.15	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:568	WTRIGHT(D0:74:13:DA:DA:8C)	-0.095	1.003	-0.101	3.723	2.441	4.333	5.1	10.17	-146.07	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:578	WTLEFT(C3:11:EA:D7:53:77)	-0.044	-0.092	0.99	6.47	-0.061	0.305	-4.84	3.89	-90.29	-80.458	-0.588	7.742	27.6	100
2025-6-24 23:35:27:578	WTLEFT(C3:11:EA:D7:53:77)	-0.05	-0.083	1.049	6.226	0.366		-4.74	3.88	-90.29	-80.458	-0.588	7.742	27.6	100
2025-6-24 23:35:27:599	WTRIGHT(D0:74:13:DA:DA:8C)	-0.166	0.981	-0.1	3.845	1.465	3.845	5.18	10.1	-146.01	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:600	WTRIGHT(D0:74:13:DA:DA:8C)	-0.037	0.99	-0.117	3.662	0.427	2.686	5.25	10.06	-145.95	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:607	WTLEFT(C3:11:EA:D7:53:77)	-0.04	-0.075	0.978	4.333	0.305	0.122	-4.63	3.9	-90.27	-80.458	-0.588	7.742	27.6	100
2025-6-24 23:35:27:607	WTLEFT(C3:11:EA:D7:53:77)	-0.072	-0.087	1.047	4.761	-2.869	0.427	-4.54	3.87	-90.26	-80.458	-0.588	7.742	27.6	100
2025-6-24 23:35:27:653	WTRIGHT(D0:74:13:DA:DA:8C)	-0.107	1.003	-0.133	5.005	0.061	-0.061	5.33	10.05	-145.93	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:653	WTRIGHT(D0:74:13:DA:DA:8C)	-0.137	0.962	-0.097	4.272	0.488	-2.258	5.27	9.98	-146.04	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:665	WTLEFT(C3:11:EA:D7:53:77)	-0.029	-0.059	1.114	1.892	1.465		-4.48	3.89	-90.26	-80.458	-0.588	7.742	27.6	100
2025-6-24 23:35:27:666	WTLEFT(C3:11:EA:D7:53:77)	-0.069	-0.07	1.006	0.793	0.916		-4.47	3.91	-90.25	-80.458	-0.588	7.742	27.6	100
2025-6-24 23:35:27:688	WTRIGHT(D0:74:13:DA:DA:8C)	-0.121	0.976	-0.117	4.639	0.977	-4.089	5.36	10.06	-145.97	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:689	WTRIGHT(D0:74:13:DA:DA:8C)	-0.245	0.996	-0.128	4.578	1.465	-4.15	5.44	10.15	-145.93	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:703	WTLEFT(C3:11:EA:D7:53:77)	-0.031	-0.064	0.979	-0.427	1.038	-0.061	-4.47	3.94	-90.25	-80.458	-0.588	7.742	27.6	100
2025-6-24 23:35:27:703	WTLEFT(C3:11:EA:D7:53:77)	-0.038	-0.083	1.008	-1.587	2.808	-0.061	-4.5	3.97	-90.25	-80.458	-0.588	7.742	27.6	100
2025-6-24 23:35:27:718	WTRIGHT(D0:74:13:DA:DA:8C)	-0.23	0.949	-0.125	3.235	1.648	-2.502	5.49	10.24	-145.86	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:719	WTRIGHT(D0:74:13:DA:DA:8C)	-0.221	0.958	-0.133	1.892	0.916	0.854	5.54	10.27	-145.79	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:735	WTLEFT(C3:11:EA:D7:53:77)	-0.056	-0.109	1		0.549	0.061	-4.53	3.97	-90.25	-80.458	-0.588	7.742	27.6	100
2025-6-24 23:35:27:735	WTLEFT(C3:11:EA:D7:53:77)	-0.053	-0.079	0.94	1.221	-1.038	-0.061	-4.52	3.97	-90.25	-80.458	-0.588	7.84	27.6	100
2025-6-24 23:35:27:776	WTRIGHT(D0:74:13:DA:DA:8C)	-0.213	0.962	-0.115	1.038	1.038	4.517	5.56	10.23	-145.74	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:776	WTRIGHT(D0:74:13:DA:DA:8C)	-0.138	0.957	-0.121	0.061	0.549	7.874	5.57	10.13	-145.7	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:783	WTLEFT(C3:11:EA:D7:53:77)	-0.052	-0.083	0.95	3.54	-1.892	0.122	-4.46	3.93	-90.24	-80.458	-0.588	7.84	27.6	100
2025-6-24 23:35:27:784	WTLEFT(C3:11:EA:D7:53:77)	-0.058	-0.078	0.971	6.042	-2.991	0.122	-4.36	3.88	-90.23	-80.458	-0.588	7.84	27.6	100
2025-6-24 23:35:27:804	WTRIGHT(D0:74:13:DA:DA:8C)	-0.146	0.974	-0.117	-0.549	0.854	9.705	5.56	9.98	-145.67	-52.038	-38.024	82.124	28.3	100
2025-6-24 23:35:27:805	WTRIGHT(D0:74:13:DA:DA:8C)	-0.12	0.977	-0.112	-0.793	1.343	10.742	5.55	9.81	-145.63	-52.038	-38.024	82.124	28.3	100
