时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 23:35:13:534	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.01	1.001	-2.197	-0.427		-0.53	1.6	-90.92	-80.556	-0.98	8.232	27.6	100
2025-6-24 23:35:13:559	WTRIGHT(D0:74:13:DA:DA:8C)	0.074	0.999	-0.071	0.061	-1.892	-4.639	2.19	-2.36	-149.12	-55.664	-41.65	82.516	28.3	100
2025-6-24 23:35:13:560	WTRIGHT(D0:74:13:DA:DA:8C)	0.09	0.994	-0.064	-0.732	-2.38	-5.31	2.18	-2.26	-149.13	-55.958	-40.768	81.928	28.3	100
2025-6-24 23:35:13:566	WTLEFT(C3:11:EA:D7:53:77)	-0.009	-0.009	1.016	-2.625	-0.183		-0.57	1.59	-90.91	-80.556	-1.078	8.036	27.6	100
2025-6-24 23:35:13:567	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.008	1.001	-3.174	0.061		-0.63	1.59	-90.91	-80.556	-1.078	8.036	27.6	100
2025-6-24 23:35:13:584	WTRIGHT(D0:74:13:DA:DA:8C)	0.074	0.999	-0.06	-0.977	-2.136	-6.409	2.17	-2.15	-149.15	-55.958	-40.768	81.928	28.3	100
2025-6-24 23:35:13:585	WTRIGHT(D0:74:13:DA:DA:8C)	0.036	0.989	-0.042	-0.671	-1.892	-6.348	2.15	-2.03	-149.16	-55.958	-40.768	81.928	28.3	100
2025-6-24 23:35:13:595	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.011	0.992	-3.296	0.305		-0.69	1.6	-90.91	-80.556	-1.078	8.036	27.6	100
2025-6-24 23:35:13:595	WTLEFT(C3:11:EA:D7:53:77)	-0.013	-0.007	1	-2.808	0.061		-0.74	1.61	-90.91	-80.556	-1.078	8.036	27.6	100
2025-6-24 23:35:13:646	WTRIGHT(D0:74:13:DA:DA:8C)	0.031	1.031	-0.08	-0.427		-6.348	2.14	-1.91	-149.14	-55.958	-40.768	81.928	28.3	100
2025-6-24 23:35:13:647	WTRIGHT(D0:74:13:DA:DA:8C)	0.063	0.991	-0.135	-1.465	-2.686	-6.592	2.1	-1.79	-149.08	-55.958	-40.768	81.928	28.3	100
2025-6-24 23:35:13:656	WTLEFT(C3:11:EA:D7:53:77)	-0.017	-0.008	1.017	-2.808	0.122		-0.8	1.61	-90.9	-80.556	-1.078	8.036	27.6	100
2025-6-24 23:35:13:656	WTLEFT(C3:11:EA:D7:53:77)	-0.019	0.003	0.99	-2.686	0.427		-0.86	1.61	-90.9	-80.556	-1.078	8.036	27.6	100
2025-6-24 23:35:13:683	WTRIGHT(D0:74:13:DA:DA:8C)	0.038	0.998	-0.087	-1.831	-3.174	-8.118	2.08	-1.65	-149.11	-55.958	-40.768	81.928	28.3	100
2025-6-24 23:35:13:684	WTRIGHT(D0:74:13:DA:DA:8C)	0.085	0.982	-0.039	-2.625	-1.038	-7.568	2.04	-1.5	-149.12	-55.958	-40.768	81.928	28.3	100
2025-6-24 23:35:13:718	WTRIGHT(D0:74:13:DA:DA:8C)	0.031	0.987	-0.047	-1.16	-2.075	-7.996	1.99	-1.36	-149.07	-55.958	-40.768	81.928	28.3	100
2025-6-24 23:35:13:721	WTRIGHT(D0:74:13:DA:DA:8C)	0.034	1.054	-0.068	-1.404	-1.831	-7.874	1.96	-1.21	-149.09	-55.958	-40.768	81.928	28.3	100
2025-6-24 23:35:13:730	WTLEFT(C3:11:EA:D7:53:77)	-0.013	-0.005	1.021	-4.272	1.282		-0.92	1.64	-90.9	-80.556	-1.078	8.036	27.6	100
2025-6-24 23:35:13:730	WTLEFT(C3:11:EA:D7:53:77)	-0.013	-0.018	1.005	-3.54	0.854		-0.99	1.65	-90.9	-80.556	-1.078	8.036	27.6	100
2025-6-24 23:35:13:731	WTLEFT(C3:11:EA:D7:53:77)	0.001	-0.014	1.014	-3.967	0.916		-1.07	1.66	-90.9	-80.556	-1.078	8.036	27.6	100
2025-6-24 23:35:13:731	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.017	1.045	-3.357	0.671		-1.13	1.68	-90.89	-80.556	-1.078	8.036	27.6	100
2025-6-24 23:35:13:765	WTRIGHT(D0:74:13:DA:DA:8C)	0.029	0.947	-0.049	-1.16	-2.747	-8.179	1.93	-1.06	-149.05	-55.958	-40.768	81.928	28.3	100
2025-6-24 23:35:13:765	WTRIGHT(D0:74:13:DA:DA:8C)	0.063	0.995	-0.055	-2.197	-0.549	-8.118	1.88	-0.91	-149.03	-55.958	-40.768	81.928	28.3	100
2025-6-24 23:35:13:776	WTLEFT(C3:11:EA:D7:53:77)	-0.001	-0.018	1.011	-3.784	0.732		-1.19	1.69	-90.89	-80.556	-1.078	8.036	27.6	100
2025-6-24 23:35:13:776	WTLEFT(C3:11:EA:D7:53:77)	-0.009	-0.016	1.057	-4.456	0.549		-1.26	1.7	-90.89	-80.556	-1.078	8.036	27.6	100
2025-6-24 23:35:13:793	WTRIGHT(D0:74:13:DA:DA:8C)	0.088	1.06	-0.029	-2.808	4.883	-9.155	1.83	-0.74	-149	-55.958	-40.768	81.928	28.3	100
2025-6-24 23:35:13:794	WTRIGHT(D0:74:13:DA:DA:8C)	0.092	1.005	-0.051	-2.319	-1.221	-11.597	1.8	-0.54	-148.96	-55.958	-40.768	81.928	28.3	100
2025-6-24 23:35:13:803	WTLEFT(C3:11:EA:D7:53:77)	-0.013	-0.018	1.065	-7.141	1.221		-1.38	1.71	-90.88	-80.556	-1.078	8.036	27.6	100
2025-6-24 23:35:13:804	WTLEFT(C3:11:EA:D7:53:77)	-0.032	-0.028	1.017	-7.874	1.77		-1.52	1.75	-90.88	-80.556	-1.078	8.036	27.6	100
2025-6-24 23:35:13:824	WTRIGHT(D0:74:13:DA:DA:8C)	0.068	0.978	-0.013	-2.869	1.16	-12.817	1.74	-0.31	-148.93	-55.958	-40.768	81.928	28.3	100
2025-6-24 23:35:13:825	WTRIGHT(D0:74:13:DA:DA:8C)	0.052	1.017	-0.042	-3.052	-1.77	-15.076	1.69	-0.05	-148.93	-55.958	-40.768	81.928	28.3	100
